,Lambda,Age,Family_Income_Quantile_2,Family_Income_Quantile_3,Family_Income_Quantile_4,Family_Income_Quantile_5,Fulltime,LSAT,Schl_Ranking_Mean
65,0.65,-0.1834338804425762,0.011803548948960046,0.010867894531686139,0.009686448006033258,0.10563086506443413,0.12878442647002908,0.7246152109937667,1.394179641642246
66,0.66,-0.1838320807434972,0.011696587177987956,0.0101480102685227,0.008590874591880324,0.10511496665169714,0.12905700160364278,0.7235294210031038,1.3945924477213016
67,0.67,-0.1842353726675045,0.011572588145054833,0.009373489584337676,0.007421903759034081,0.10454841448938512,0.1293282306716376,0.7223776259669883,1.3949301109221566
68,0.68,-0.1846436983986281,0.011431422993126607,0.008545672406831328,0.006182339302959504,0.10393308343125474,0.1296001837620421,0.7211561813217233,1.3951941600977624
69,0.69,-0.18505646891984465,0.011273954388147057,0.007667554292165725,0.004874726538337902,0.10327015721048734,0.12987125044871878,0.7198683851036316,1.3953864677532104
70,0.7,-0.18547394203801204,0.01110059447533297,0.006738942366179524,0.0034996238626436695,0.10256038148142754,0.1301418112765611,0.7185161473602636,1.3955082795005336
71,0.71,-0.18589637163648862,0.010911413373159973,0.0057613602135242,0.00205854109096959,0.10180472652752415,0.1304120424442219,0.7171007310333005,1.3955608174671508
72,0.72,-0.18632602769587808,0.010702092413789572,0.004730928076377023,0.0005462987488156629,0.10100062113006528,0.1306842236333022,0.7156231670744984,1.3955425510795707
73,0.73,-0.18675711861444966,0.010483246453476739,0.003660768045187393,-0.0010205648208573338,0.10015703430235404,0.13095242645613497,0.7140845719354292,1.3954610854735938
74,0.74,-0.18719205848867143,0.010251655382244877,0.002546823566567534,-0.0026465495060235154,0.09927260725963537,0.13122023002581493,0.7124845243520788,1.3953170401175885
75,0.75,-0.18762379906221682,0.010007086859882202,0.0013773953700357499,-0.004343153152303747,0.0983394316132129,0.13147735351961995,0.7108289921711582,1.3951077299107815
76,0.76,-0.1880673104643183,0.009747786089490468,0.00017017885625284084,-0.006095895647804969,0.09736971580413423,0.13174256101193005,0.709121282596983,1.3948343433161186
77,0.77,-0.18851297577959317,0.009472476304219688,-0.0010834401517866867,-0.00790656866179144,0.09635833665275328,0.13200431026666562,0.7073592605032886,1.3944997381882545
78,0.78,-0.188962768191622,0.009183841001532647,-0.0023731475685655453,-0.0097697278821187,0.09531076610398492,0.13226673921642113,0.7055440222257828,1.394105927825035
79,0.79,-0.189415886365568,0.00887987259848515,-0.003712046269307477,-0.011694225982111693,0.09422006509862907,0.13252699533048595,0.7036780313289961,1.3936517499298648
80,0.8,-0.18986926900749962,0.008558923566693525,-0.005103617678978228,-0.013679884992991758,0.09308681945399472,0.13278222772493312,0.7017632174601681,1.39314203488588
81,0.8100000000000002,-0.19033155104161445,0.008230488796495452,-0.0065105559297104236,-0.015705154763981183,0.09192738004278532,0.13304342701894306,0.699799094256194,1.392574997918074
82,0.82,-0.1907945401617986,0.007884983292284634,-0.00796964667179038,-0.017790111552642995,0.0907259194704092,0.13330001240305117,0.6977887342250473,1.3919538900235118
83,0.8299999999999998,-0.19126084351869005,0.007525011239075072,-0.009469336761557305,-0.019927939389205767,0.08948810996712345,0.1335554140209386,0.6957322581170164,1.3912785753276318
84,0.8400000000000001,-0.19172978103856042,0.00715098831198475,-0.0110088304536598,-0.02211753711729319,0.08821445172970688,0.13380908229718003,0.6936317517171426,1.390550932209438
85,0.85,-0.19220384684325448,0.006758406588378707,-0.012592657948873437,-0.024363884485913485,0.08690222961673474,0.13406330734265015,0.691488646834904,1.389769152640899
86,0.86,-0.1926758942275487,0.006359847103175359,-0.014206042852124434,-0.026648773658683643,0.08556167952749068,0.13431213630547054,0.689304111277979,1.388941625568777
87,0.8699999999999999,-0.19314980276011268,0.005949584941481168,-0.015855613629297265,-0.02897978634561662,0.08418847586795779,0.13455827693322328,0.6870801587892247,1.388067176227447
